Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,15309.5,16067.0,15288.5,15719.0,15719.0,1559444291
2020-11-12,15719.0,16368.5,15460.0,16316.0,16316.0,2229996928
2020-11-13,16316.0,16499.0,15965.5,16340.0,16340.0,1579054970
2020-11-14,16340.0,16340.0,15718.0,16083.0,16083.0,1295478185
2020-11-15,16083.0,16169.5,15795.0,15973.0,15973.0,1008923756
2020-11-16,15973.0,16886.0,15889.5,16718.0,16718.0,1715669172
2020-11-17,16718.0,17890.0,16532.5,17683.5,17683.5,2840549478
2020-11-18,17683.5,18500.0,17221.0,17788.5,17788.5,3789521364
2020-11-19,17788.5,18230.5,17350.0,17824.0,17824.0,2165844721
2020-11-20,17824.0,18837.5,17763.0,18672.5,18672.5,2331879627
2020-11-21,18672.5,18989.5,18283.5,18725.0,18725.0,1851016742
2020-11-22,18725.0,18781.5,17656.0,18464.0,18464.0,2186105725
2020-11-23,18464.0,18785.0,18045.0,18393.5,18393.5,2156681517
2020-11-24,18393.5,19449.0,18045.0,19193.0,19193.0,2767550413
2020-11-25,19193.0,19546.5,18490.5,18751.0,18751.0,2400452266
2020-11-26,18751.0,18924.5,16220.0,17165.5,17165.5,4869547159
2020-11-27,17165.5,17477.0,16460.0,17153.0,17153.0,2299039122
2020-11-28,17153.0,17874.5,16898.5,17736.5,17736.5,1356626364
2020-11-29,17736.5,18345.0,17536.5,18195.0,18195.0,1241460612
2020-11-30,18195.0,19949.0,18195.5,19714.5,19714.5,3107683217
2020-12-01,19714.5,19958.0,18140.0,18793.0,18793.0,3165344547
2020-12-02,18793.0,19351.0,18334.0,19221.5,19221.5,1729762100
2020-12-03,19221.5,19632.0,18880.5,19450.5,19450.5,1371217335
2020-12-04,19450.5,19545.0,18559.0,18658.5,18658.5,1688264359
2020-12-05,18658.5,19194.5,18503.5,19155.5,19155.5,926099520
2020-12-06,19155.5,19447.0,18880.0,19394.0,19394.0,1048486560
2020-12-07,19394.0,19450.0,18914.0,19188.0,19188.0,1038976792
2020-12-08,19188.0,19303.0,18156.5,18306.5,18306.5,1626238181
2020-12-09,18306.5,18626.5,17630.0,18533.0,18533.0,1911129220
2020-12-10,18533.0,18539.0,17925.0,18247.0,18247.0,1250055625
2020-12-11,18247.0,18286.0,17563.5,18037.5,18037.5,1868706439
2020-12-12,18037.5,18950.0,18020.0,18812.5,18812.5,1118565731
2020-12-13,18812.5,19439.0,18730.0,19172.0,19172.0,1363478354
2020-12-14,19172.0,19355.0,19007.5,19272.0,19272.0,974421380
2020-12-15,19272.0,19595.0,19055.0,19439.0,19439.0,1531807702
2020-12-16,19439.0,21604.5,19291.5,21380.0,21380.0,2906159364
2020-12-17,21380.0,23837.5,21273.5,22821.5,22821.5,5867478897
2020-12-18,22821.5,23312.5,22359.0,23134.5,23134.5,1905514933
2020-12-19,23134.5,24300.0,22780.0,23874.5,23874.5,2075861972
2020-12-20,23874.5,24350.5,23111.0,23491.0,23491.0,2109245363
2020-12-21,23491.0,24157.5,21800.0,22741.5,22741.5,3330895998
2020-12-22,22741.5,23865.0,22400.0,23835.0,23835.0,1923966495
2020-12-23,23835.0,24163.0,22590.5,23241.0,23241.0,3088958589
2020-12-24,23241.0,23795.5,22680.0,23740.0,23740.0,1922526568
2020-12-25,23740.0,24812.0,23452.0,24728.5,24728.5,2409655649
2020-12-26,24728.5,26880.0,24500.5,26490.0,26490.0,2293397405
2020-12-27,26490.0,28395.0,25848.0,26254.0,26254.0,4152651254
2020-12-28,26254.0,27495.0,26073.0,27039.5,27039.5,2222773553
2020-12-29,27039.5,27411.0,25887.0,27379.5,27379.5,2238690113
2020-12-30,27379.5,29021.0,27380.0,28907.5,28907.5,3081874067
2020-12-31,28907.5,29350.0,27941.0,28951.0,28951.0,2319304701
